title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[Cathy Tanimura],40.49,360,4.7,50,0.78,0.19,0.03,0,0,OReilly Media,0.316666666666667
The Cyberwarrior Handbook: A Beginners Guide to Hacking from Recon to Exploitation,[OccupyTheWeb],49.99,352,,0,0,0,0,0,0,No Starch Press (February 7 2023),0
Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,"[Angelica Lo Duca,Gideon Mendels]",44.99,402,5,2,1,0,0,0,0,Packt Publishing (August 26 2022),0.333333333333333
Optimization for Data Analysis,"[Stephen J. Wright,Benjamin Recht]",38.91,238,5,2,1,0,0,0,0,Cambridge University Press,0.333333333333333
The Self-Taught Computer Scientist: The Beginners Guide to Data Structures & Algorithms,[Cory Althoff],19.49,224,4.5,87,0.75,0.08,0.12,0.02,0.03,Wiley,0.3
Quantitative Social Science: An Introduction in tidyverse,"[Kosuke Imai,Nora Webb Williams]",49.99,488,3.8,3,0.61,0.39,0,0,0,Princeton University Press (August 2 2022),0.307333333333333
Data Science Interview: Prep for SQL Panda Python R Language Machine Learning DBMS and RDBMS â€“ And More â€“ The Full Data Scientist Interview Handbook,[DSI ACE PREP],24.99,156,4.7,44,0.91,0.04,0.05,0,0,Data Science Interview Books (January 6 2022),0.324
The Data Vault Guru: a pragmatic guide on building a data vault,[Mr Patrick Cuba],76.96,676,4.1,13,0.57,0.23,0.1,0.1,0,Independently published (October 6 2020),0.284666666666667
Responsible Data Science,"[Grant Fleming,Peter C. Bruce]",19.86,304,3.8,8,0.7,0.3,0,0,0,Wiley,0.313333333333333
Fundamentals of Data Science with MATLAB: Introduction to Scientific Computing Data Analysis and Data Visualization,[Arash Karimpour],26,424,4.5,4,0.5,0.5,0,0,0,Arash Karimpour (July 31 2020),0.3
Python for Data Science: Clear and Complete Guide to Data Science and Analysis with Python,[Alex Campbell],14.95,197,3.9,9,0.62,0.15,0.23,0,0,Independently published (August 15 2021),0.292666666666667
Learn Power BI: A comprehensive step--step guide for beginners to learn real-world business intelligence 2nd Edition,[Greg Deckler],44.64,458,4.4,30,0.66,0.17,0.09,0.08,0,Packt Publishing,0.294
Data Visualization with Excel Dashboards and Reports,[Dick Kusleika],22.99,352,4.4,77,0.63,0.27,0.03,0.04,0.02,Wiley,0.294666666666667
Data Science For Dummies 2nd Edition,"[Lillian Pierson,Jake Porway]",41.02,384,4.4,205,0.6,0.24,0.13,0.02,0.02,For Dummies,0.294
Hands-On Data Structures and Algorithms with Python: Store manipulate and access data effectively and boost the performance of your applications 3rd Edition,[Dr. Basant Agarwal],44.99,496,4.6,5,0.58,0.42,0,0,0,Packt Publishing,0.305333333333333
Business Intelligence Analytics and Data Science: A Managerial Perspective,"[Ramesh Sharda,Dursun Delen et al.]",106.66,512,4.5,273,0.77,0.08,0.07,0.02,0.05,Pearson,0.298
Guide to Data Science: Brief Introduction to the Quirky World of Data,[Aryan Goyal],14.99,151,5,1,1,0,0,0,0,Independently published (August 15 2022),0.333333333333333
Machine Learning for Time Series Forecasting with Python,[Francesca Lazzeri],32.49,224,3.9,43,0.53,0.07,0.25,0.12,0.04,Wiley,0.264
Introduction to Computation: Haskell Logic and Automata (Undergraduate Topics in Computer Science),,33.9,382,5,3,1,0,0,0,0,Springer,0.333333333333333
Data Science: Concepts and Practice,"[Vijay Kotu,Bala Deshpande]",69.34,568,4.5,9,0.68,0.16,0.16,0,0,Morgan Kaufmann,0.301333333333333
Inferential Network Analysis (Analytical Methods for Social Research),,54.81,314,4.7,7,0.69,0.31,0,0,0,Cambridge University Press (January 7 2021),0.312666666666667
